лорд	勋爵；贵族	b2
сменить	更换；换下	a2
охранник	保安；警卫	a2
поторопиться	赶快；抓紧	b1
интервью	采访；面试	b1
учёный	学者；科学家	b1
определённый	一定的；特定的	b1
двойной	双重的；加倍的	b1
пост	岗位；哨所；职位	b1
организация	组织；机构	b1
одолжение	帮忙；恩惠	b1
удивить	使惊讶	a2
пицца	披萨	a1
присяжный	陪审员	b2
изменение	变化；改变	a2
объявить	宣布	a2
во-первых	首先	a2
студент	大学生	a1
пёс	公狗	a2
продолжаться	继续	a2
воскресение	星期天	a1
житель	居民	a2
божий	上帝的	b1
передача	节目；传递；挡位	a2
реклама	广告	a2
очнуться	苏醒；恢复知觉	b1
королевский	国王的；皇家的	a2
среда	星期三	a1
охота	打猎；狩猎	a2
ура	乌拉；好哇	a1
необходимость	必要性；需要	b1
волна	波浪	a2
вкусно	好吃；美味	a1
забавный	有趣的；好笑的	a2
ферма	农场	b1
записка	便条；字条	a2
край	边缘；边区	a2
север	北方	a1
гений	天才	b1
министр	部长	b1
крыса	老鼠	a2
гореть	燃烧	a2
поделиться	分享	b1
оказать	给予；施加	b1
создание	创造；生物；作品	b1
обязанность	义务；职责	b1
прибыль	利润；收益	b1
основное	要点；主要内容	b1
менеджер	经理；管理人员	a2
вынести	拿出；忍受	b1
губа	嘴唇	a2
водить	驾驶；带领（不定向）	a2
мешок	袋子	a2
хлеб	面包	a1
медсестра	护士	a2
поделать	做一做；能怎么办（口语）	b1
глубоко	深；深深地	a2
сзади	在后面	a2
мальчишка	男孩；小子	a2
прикрытие	掩护；掩盖	b2
март	三月	a1
возникнуть	出现；产生	b1
картер	-	drop:专名
обойтись	对付过去；不用	b1
еврей	犹太人	a2
одиночество	孤独	b1
фил	-	drop:专名
позади	在后面；过去	a2
идеально	完美地	a2
забота	关心；操心的事	a2
экзамен	考试	a2
дружба	友谊	a2
зарабатывать	挣钱；赚得	a2
игрушка	玩具	a1
пятый	第五	a1
шевелиться	动；动弹	a2
убегать	逃跑（不定向）	a1
превратить	把…变成	b1
испугаться	害怕；受惊	a1
файл	文件	a2
гулять	散步；玩	a1
повредить	损坏；弄伤	a2
подвал	地下室	b1
передавать	转交；转达；播送	a2
степень	程度；度	b1
убитый	被打死的；疲惫不堪的	b1
городской	城市的	a2
невинный	无辜的；天真的	b1
соединить	连接；接通	b1
необычный	不寻常的	a2
оказываться	（原来）是；竟然	a2
средний	中间的；平均的	a2
реакция	反应	a2
наказание	惩罚	b1
пацан	小伙子；男孩（口语）	a1
заменить	替换	a2
сбить	打落；撞倒	a2
ограбление	抢劫	b1
прыгать	跳	a1
хан	可汗；汗	b2
переспать	同床；过夜（粗俗口语）	b1
древний	古代的；古老的	a2
приглашение	邀请	a2
урод	丑八怪；畸形（骂）	b1
кресло	扶手椅	a1
сыр	奶酪	a1
федеральный	联邦的	b1
субтитр	字幕	b1
награда	奖励；奖章	b1
останавливаться	停下	a2
понедельник	星期一	a1
одиночка	单身者；独行侠	b1
удивительный	令人惊讶的	a2
океан	海洋	a1
основание	基础；根据；成立	b1
разбудить	叫醒	a2
квартал	街区；季度	b1
уладить	解决好；调解好	b1
обвинить	指控；指责	b1
предмет	物品；科目	a2
поступок	行为；举动	b1
истинный	真正的	b2
избежать	避免	b1
сенатор	参议员	b1
заглянуть	顺便看看；看一眼	a2
приглашать	邀请	a2
футбол	足球	a1
актёр	演员	a2
заказ	订购；订单	a2
определить	确定；判定	b1
поднимать	举起；抬起	a2
приступ	（疾病）发作	b2
должность	职位	b1
торт	蛋糕	a1
посылать	寄；派	a2
впечатление	印象	b1
попрощаться	告别	a2
доля	份额；命运	b1
двигатель	发动机	b1
мировой	世界的	b1
мина	地雷；（脸上的）表情	b1
дин	-	drop:专名噪声
ммм	-	drop:噪声
сучка	-	drop:粗俗
жопа	-	drop:粗俗
старое	-	drop:变体
